id,name,gender,country,birth,death,complexity
148,Михаил Врубель,1,,,,1
149,Лоуренс Альма-Тадема,1,,,,3
150,Юлиус Леблан Стюарт,1,,,,3
151,Альбер Матиньон,1,,,,3
152,Пьер Огюст Кот,1,,,,3
154,Сальвадор Дали,1,,,,1
155,Помпео Батони,1,,,,3
156,Робер Делоне,1,,,,3
157,Филипп Малявин,1,,,,3
158,Эдвин Лонгсден,1,,,,3
159,Фридрих Хейзер,1,,,,3
160,Паоло Учелло,1,,,,3
161,Утагава Хиросигэ,1,Japan,1797,1858,3
162,Пьерматтео д'Амелиа,1,,,,3
164,Филипп де Шампань,1,,,,3
166,Фредерик Ремингтон,1,,,,3
167,Уинслоу Хомер,1,,,,3
168,Роже Биссьер,1,,,,3
169,Джон Кольер,1,,,,2
170,Жан Батист Пьер-мари,1,,,,3
171,Джозеф Пул Эдди,1,,,,3
172,Габриэль де Кул,1,,,,3
173,Анри Камиль Данжер,1,,,,3
174,Альфонс Алле,1,,,,3
175,Каналетто,1,Italy,1697,,3
176,Ханс Бальдунг,1,,,,3
177,Эндрю Уайет,1,,,,2
178,Эрнст Штюкельберг,1,,,,3
180,Артемизия Джентилески,2,Italy,1593,1653,2
181,Фриц Таулов,1,,,,3
182,Хуго Симберг,1,,,,3
183,Рене Магритт,1,,,,1
184,Василий Худяков,1,,,,3
185,Эмили Мэри Осборн,2,England,1828,1925,3
188,Эжен де Блаас,1,,,,3
189,Роберт Фальк,1,,,,2
190,Пьер-Шарль Конт,1,,,,3
191,Теодор Шассерио,1,,,,3
192,Пьетро Лонги,1,,,,3
194,Франц Богумил Доубек,1,,,,3
195,Фредерик Базиль,1,,,,3
196,Мария Оки Девинг,2,USA,1845,1927,3
197,Паскаль Даньян-Бувре,1,,,,3
198,Жан-Марк Натье,1,,,,3
199,Александр Левченков,1,,,,3
200,Герберт Джеймс Дрейпер,1,,,,3
201,Ромейн Брукс,1,,,,3
202,Сергей Григорьев,1,Russia,1910,,3
203,Ян Матейко,1,,,,3
204,Густав Поуп,1,,,,3
205,Поль Деларош,1,,,,3
207,Василий Пукирев,1,,,,1
208,Уильям Джеймс Глакенс,1,,,,3
209,Альфред Стивенс,1,,,,3
210,Константин Маковский,1,,,,1
211,Луи Жан-Франсуа Лагрене,1,,,,3
212,Мария Искьердо,2,Mexico,1906,1955,3
213,Леон Огюстен Лермитт,1,,,,3
214,Фредерик Стюарт Черч,1,,,,3
215,Эдуард Мане,1,,,,1
216,Карл Брюллов,1,,,,1
218,Эдуард Биссон,1,,,,3
219,Сальваторе Роза,1,,,,3
220,Владислав Чахурский,1,,,,3
221,Игорь Раздрогин,1,,,,3
222,Гарофало Бенвенуто Тизи,1,,,,3
223,Каспар Августин Гейгер,1,,,,3
224,Мануэль Родригес Лозаньо,1,,,,3
225,Оскар Цвинчер,1,,,,3
226,Лев Лагорио,1,,,,3
227,Эдвард Лемсон Генри,1,,,,3
228,Джордж Хенри,1,,,,3
229,Дирк Боутс,1,,,,3
230,Люсьен Фрейд,1,,,,3
231,Иоанн Фаед,1,,,,3
232,Пётр Кривоногов,1,,,,3
233,Лоренцо Коста,1,,,,3
234,Юзеф Шерментовский,1,,,,3
235,Лоренцо Монако,1,,,,3
236,Энди Уорхол,1,,,,1
238,Сильвио Алласон,1,,,,3
239,Владимир Маковский,1,,,,2
240,Альфонс Муха,1,,,,1
241,Лукиан Попов,1,,,,3
242,Константин Савицкий,1,,,,1
243,Анхель Саррага,1,,,,3
244,Жак-Эмиль Бланш,1,,,,3
245,Николай Баскаков,1,,,,3
246,Жан-Эжен Бюлан,1,,,,3
247,Лудовикус Финсон,1,,,,3
248,Юдит Лейстер,1,,,,3
250,Джаспер Джонс,1,,,,3
251,Бертольд Вольц,1,,,,3
252,Роберт Эннинг Белл,1,,,,3
253,Лев Лерх,1,,,,3
254,Александр Маковский,1,,,,3
255,Яцек Мальчевский,1,,,,3
256,Константин Флавицкий,1,,,,1
257,Жан Леон Жером,1,,,,2
258,Шандор Бортник,1,,,,3
259,Лаура Найт,1,,,,3
260,Жан-Оноре Фрагонар,1,,,,2
261,Отон Фриез,1,,,,3
262,Иероним Босх,1,,,,1
263,Юлий Клевер,1,,,,3
265,Фра Беато Анджелико,1,,,,3
266,Григорий Теплов,1,,,,3
267,Мина Карлсон-Бредберг,1,,,,3
268,Йозеф Карл Штилер,1,,,,3
269,Ялмар Мунстеръелм,1,,,,3
270,Эжен Буден,1,,,,3
271,Леандро Исагирре,1,,,,3
272,Тарас Шевченко,1,,,,2
273,Анри Шарль Манген,1,,,,3
274,Амедео Модильяни,1,,,,2
276,Якоб Лукас Охтервельт,1,,,,3
277,Уильям Тёрнер,1,,,,2
278,Элизабет Пэкстон,2,USA,1878,1972,3
279,Мария Башкирцева,2,,,,3
280,Адриан ван Остаде,1,,,,3
281,Энрике Симоне,1,,,,3
283,Отто Дикс,1,,,,2
284,Поль Гоген,1,,,,1
285,Адриан Верховен-Балл,1,,,,3
286,Эдгар Дега,1,,,,1
287,Юдель Пэн,1,,,,3
288,Андре Анри Даргелас,1,,,,3
289,Якопо Тинторетто,1,,,,3
290,Феликс Огюст Клеман,1,,,,3
291,Василий Мешков,1,,,,3
292,Вирджилио Рипари,1,,,,3
293,Ульпиано Чека Санс,1,,,,3
294,Алексей Храмов,1,,,,3
296,Лучо Фонтана,1,,,,3
297,Андерс Цорн,1,,,,2
298,Франс Флорис,1,,,,3
299,Теофиль-Александр Стейнлен,1,,,,3
300,Доротея Таннинг,2,USA,1910,2012,3
301,Борис Грох,1,,,,3
302,Ян Сиберехт,1,,,,3
303,Генри Джон Сток,1,,,,3
304,Форд Мэдокс Браун,1,,,,3
305,Натан Альтман,2,Russia,1889,1970,3
306,Кузьма Петров-Водкин,1,,,,1
307,Луи-Леопольд Буальи,1,,,,3
308,Евграф Сорокин,1,,,,3
309,Иван Вельц,1,,,,3
310,Василий Поленов,1,,,,1
312,Феликс Крейцер,1,,,,3
313,Фортунино Матания,1,Italy,1881,1963,3
314,Василий Тропинин,1,,,,1
315,Франсуа Лемуан,1,,,,3
316,Фелисье́н Ропс,1,,,,3
